,TS,ital,költség
3269,2020-12-31 15:52:08,Turf Cocktail,12.0
3270,2020-12-26 08:59:02,Mai Tai,11.0
3271,2020-12-31 04:21:39,Imperial Cocktail,4.99
3272,2020-12-31 07:37:26,Hawaiian Cocktail,6.5
3273,2020-12-26 14:36:34,Whitecap Margarita,4.99
3274,2020-12-26 00:58:09,Gin Fizz,2.99
3275,2020-12-27 13:51:17,Lone Tree Cooler,5.5
3276,2020-12-29 17:28:33,Margarita,7.5
3277,2020-12-30 07:31:45,Fruit Shake,5.5
3278,2020-12-29 04:02:19,Snowball,11.0
3279,2020-12-30 04:30:04,Afternoon,3.0
3280,2020-12-30 16:39:08,Hawaiian Cocktail,6.5
3281,2020-12-31 03:09:01,Manhattan,4.2
3282,2020-12-26 07:16:41,Hunter's Moon,3.0
3283,2020-12-26 03:22:43,Oatmeal Cookie,4.99
3284,2020-12-29 15:07:36,City Slicker,4.0
3285,2020-12-27 06:48:15,After sex,7.5
3286,2020-12-28 20:13:57,Tennesee Mud,6.5
3287,2020-12-29 08:48:50,Imperial Cocktail,4.99
3288,2020-12-31 10:09:17,Munich Mule,12.0
3289,2020-12-26 17:55:58,Port Wine Flip,5.0
3290,2020-12-29 03:14:32,Gin Fizz,2.99
3291,2020-12-27 22:08:33,Sweet Sangria,4.0
3292,2020-12-27 09:55:07,Gimlet,4.2
3293,2020-12-25 20:50:30,Shot-gun,7.5
3294,2020-12-28 00:56:33,Bloody Mary,5.5
3295,2020-12-27 08:45:34,Fahrenheit 5000,2.99
3296,2020-12-26 02:28:44,Gin Rickey,4.0
3297,2020-12-25 18:47:20,Zizi Coin-coin,5.0
3298,2020-12-29 08:40:12,Owen's Grandmother's Revenge,8.0
3299,2020-12-27 14:39:59,Sweet Sangria,4.0
3300,2020-12-28 08:56:24,Long Island Tea,8.0
3301,2020-12-27 18:19:42,Bubble Gum,3.0
3302,2020-12-27 02:10:05,Porto flip,4.99
3303,2020-12-29 01:21:46,Hawaiian Cocktail,6.5
3304,2020-12-28 21:21:41,Jackhammer,3.5
3305,2020-12-31 15:27:00,Grim Reaper,4.0
3306,2020-12-28 20:32:21,Mulled Wine,11.0
3307,2020-12-30 17:34:21,Ipamena,2.99
3308,2020-12-30 02:11:44,Paradise,4.2
3309,2020-12-28 03:01:48,Snowball,11.0
3310,2020-12-27 03:09:49,Kool First Aid,5.0
3311,2020-12-26 05:27:57,Sea breeze,8.0
3312,2020-12-26 02:00:36,Cuba Libre,4.2
3313,2020-12-27 09:03:39,Lord And Lady,8.0
3314,2020-12-26 07:26:06,Mai Tai,11.0
3315,2020-12-26 23:19:44,Hawaiian Cocktail,6.5
3316,2020-12-27 22:49:35,Bramble,4.2
3317,2020-12-28 08:27:24,Long Island Tea,8.0
3318,2020-12-25 22:56:12,Karsk,11.0
3319,2020-12-28 15:15:17,Hawaiian Cocktail,6.5
3320,2020-12-26 12:29:11,Ipamena,2.99
3321,2020-12-28 22:05:39,Scooter,12.0
3322,2020-12-30 03:53:29,Dry Rob Roy,5.5
3323,2020-12-28 07:27:26,Zizi Coin-coin,5.0
3324,2020-12-28 15:19:12,Gimlet,4.2
3325,2020-12-27 10:15:41,Hawaiian Cocktail,6.5
3326,2020-12-26 17:40:53,Egg Cream,4.99
3327,2020-12-26 16:06:50,Afternoon,3.0
3328,2020-12-30 21:50:11,Gin Rickey,4.0
3329,2020-12-28 23:34:24,Veteran,8.0
3330,2020-12-29 22:41:08,Long Island Tea,8.0
3331,2020-12-27 01:34:41,Gin Fizz,2.99
3332,2020-12-29 23:34:27,Bellini,2.99
3333,2020-12-31 21:15:59,Margarita,7.5
3334,2020-12-29 00:40:13,Pysch Vitamin Light,6.5
3335,2020-12-26 01:13:55,Gimlet,4.2
3336,2020-12-30 09:40:26,Frozen Daiquiri,4.99
3337,2020-12-27 05:06:10,Manhattan,4.2
3338,2020-12-30 20:44:59,Flying Scotchman,12.0
3339,2020-12-25 20:28:37,Alexander,5.0
3340,2020-12-30 10:37:08,Imperial Cocktail,4.99
3341,2020-12-27 17:38:18,Margarita,7.5
3342,2020-12-30 07:41:03,Kool-Aid Slammer,3.0
3343,2020-12-25 23:42:03,Irish Spring,5.15
3344,2020-12-28 16:04:24,Sol Y Sombra,5.15
3345,2020-12-30 21:16:40,Apello,3.5
3346,2020-12-28 12:31:06,B-53,5.15
3347,2020-12-26 09:34:35,Mulled Wine,11.0
3348,2020-12-26 00:09:16,Imperial Cocktail,4.99
3349,2020-12-31 23:25:01,After sex,7.5
3350,2020-12-31 00:52:45,Bramble,4.2
3351,2020-12-26 17:11:14,Irish Curdling Cow,2.99
3352,2020-12-30 21:27:18,Jelly Bean,3.0
3353,2020-12-29 06:31:07,Godchild,7.5
3354,2020-12-26 07:38:10,Lassi - Sweet,8.0
3355,2020-12-26 06:17:10,Grim Reaper,4.0
3356,2020-12-27 00:06:15,Waikiki Beachcomber,5.5
3357,2020-12-28 05:56:03,Iced Coffee Fillip,5.0
3358,2020-12-27 23:47:54,Dry Martini,8.0
3359,2020-12-28 06:18:20,Munich Mule,12.0
3360,2020-12-27 16:08:36,Bloody Mary,5.5
3361,2020-12-28 20:47:03,White Lady,6.5
3362,2020-12-29 18:50:26,Planter’s Punch,8.0
3363,2020-12-29 15:24:42,Imperial Cocktail,4.99
3364,2020-12-30 04:41:09,The Laverstoke,7.5
3365,2020-12-31 05:57:01,Imperial Cocktail,4.99
3366,2020-12-29 09:34:44,Porto flip,4.99
3367,2020-12-31 22:50:03,Chocolate Drink,12.0
3368,2020-12-25 19:53:03,Long Island Iced Tea,3.0
3369,2020-12-28 22:24:51,Orgasm,5.15
3370,2020-12-30 13:09:18,Gin Tonic,6.5
3371,2020-12-28 15:35:08,Shot-gun,7.5
3372,2020-12-27 03:44:55,White Lady,6.5
3373,2020-12-27 22:24:42,Fruit Cooler,8.0
3374,2020-12-26 22:39:42,Nuked Hot Chocolate,12.0
3375,2020-12-27 05:12:50,Margarita,7.5
3376,2020-12-28 18:24:07,Gin Rickey,4.0
3377,2020-12-27 05:01:23,Imperial Cocktail,4.99
3378,2020-12-27 03:23:06,Hawaiian Cocktail,6.5
3379,2020-12-29 14:32:36,Grand Blue,11.0
3380,2020-12-29 07:36:53,Victory Collins,7.5
3381,2020-12-30 02:13:47,Quentin,3.5
3382,2020-12-27 13:49:59,Victor,4.2
3383,2020-12-28 01:24:36,Holloween Punch,4.2
3384,2020-12-25 18:37:34,Manhattan,4.2
3385,2020-12-27 10:21:44,Pysch Vitamin Light,6.5
3386,2020-12-28 01:51:31,Snowball,11.0
3387,2020-12-25 20:02:27,White Lady,6.5
3388,2020-12-26 19:10:18,Egg Nog - Healthy,11.0
3389,2020-12-31 18:48:16,Kill the cold Smoothie,11.0
3390,2020-12-31 08:22:05,Manhattan,4.2
3391,2020-12-30 10:10:43,Queen Charlotte,8.0
3392,2020-12-31 18:47:08,Long Island Tea,8.0
3393,2020-12-28 09:40:45,Long Island Tea,8.0
3394,2020-12-25 17:54:37,After sex,7.5
3395,2020-12-30 06:38:06,Gin Rickey,4.0
3396,2020-12-27 23:00:16,Fahrenheit 5000,2.99
3397,2020-12-31 07:24:41,Margarita,7.5
3398,2020-12-28 05:20:57,Grizzly Bear,12.0
3399,2020-12-31 11:51:34,Long Island Iced Tea,3.0
3400,2020-12-29 01:36:25,Victor,4.2
3401,2020-12-27 03:22:34,Creme de Menthe,3.5
3402,2020-12-30 13:04:49,Hawaiian Cocktail,6.5
3403,2020-12-25 21:14:38,Creme de Menthe,3.5
3404,2020-12-27 12:25:18,Passion Fruit Martini,2.99
3405,2020-12-27 02:23:50,Irish Spring,5.15
3406,2020-12-30 23:19:25,Gimlet,4.2
3407,2020-12-28 21:22:50,Quick-sand,4.0
3408,2020-12-25 21:57:52,Manhattan,4.2
3409,2020-12-26 23:47:57,Honey Bee,3.0
3410,2020-12-27 09:38:19,Manhattan,4.2
3411,2020-12-27 22:11:41,Sweet Sangria,4.0
3412,2020-12-28 02:46:55,Casa Blanca,5.15
3413,2020-12-26 23:50:50,Imperial Cocktail,4.99
3414,2020-12-26 18:24:21,Bramble,4.2
3415,2020-12-31 18:54:45,Waikiki Beachcomber,5.5
3416,2020-12-27 11:50:49,Mojito,5.5
3417,2020-12-26 03:47:08,Affinity,2.99
3418,2020-12-26 18:39:17,Broadside,5.5
3419,2020-12-31 09:30:32,Waikiki Beachcomber,5.5
3420,2020-12-30 00:23:18,Rum Cooler,4.99
3421,2020-12-31 22:43:36,Frosé,2.99
3422,2020-12-28 21:55:34,Broadside,5.5
3423,2020-12-31 05:00:49,Grim Reaper,4.0
3424,2020-12-28 15:19:31,Sea breeze,8.0
3425,2020-12-31 13:24:22,Hemingway Special,3.5
3426,2020-12-28 11:32:44,Dry Rob Roy,5.5
3427,2020-12-30 04:44:59,Espresso Martini,11.0
3428,2020-12-31 14:35:36,Scotch Sour,7.5
3429,2020-12-29 06:49:47,Iced Coffee Fillip,5.0
3430,2020-12-28 07:15:11,Imperial Cocktail,4.99
3431,2020-12-28 12:00:40,Frozen Daiquiri,4.99
3432,2020-12-27 17:13:38,Figgy Thyme,3.0
3433,2020-12-28 02:15:14,Hawaiian Cocktail,6.5
3434,2020-12-31 07:28:44,Affinity,2.99
3435,2020-12-30 03:07:24,Dry Rob Roy,5.5
3436,2020-12-27 04:25:25,Talos Coffee,5.15
3437,2020-12-30 11:55:36,Long Island Tea,8.0
3438,2020-12-30 10:30:27,Hawaiian Cocktail,6.5
3439,2020-12-29 19:11:42,Cream Soda,5.15
3440,2020-12-29 06:17:11,Zorbatini,4.2
3441,2020-12-30 23:49:43,Mojito,5.5
3442,2020-12-29 17:18:29,Manhattan,4.2
3443,2020-12-27 11:03:39,Monkey Gland,11.0
3444,2020-12-28 18:36:32,Tequila Sour,5.15
3445,2020-12-30 01:15:41,Rum Cooler,4.99
3446,2020-12-30 17:36:21,Imperial Cocktail,4.99
3447,2020-12-26 07:54:14,Margarita,7.5
3448,2020-12-28 21:51:58,Long Island Tea,8.0
3449,2020-12-31 18:49:20,Jackhammer,3.5
3450,2020-12-30 14:03:11,Casino,6.5
3451,2020-12-30 00:41:51,Imperial Cocktail,4.99
3452,2020-12-31 10:49:06,Bora Bora,2.99
3453,2020-12-31 17:29:55,Cream Soda,5.15
3454,2020-12-27 05:21:38,Lone Tree Cooler,5.5
3455,2020-12-28 05:34:51,Shark Attack,6.5
3456,2020-12-27 09:20:51,Veteran,8.0
3457,2020-12-25 21:12:08,Sidecar,11.0
3458,2020-12-30 22:44:06,Sea breeze,8.0
3459,2020-12-30 18:18:09,Margarita,7.5
3460,2020-12-31 08:01:06,Mother's Milk,5.0
3461,2020-12-27 20:48:11,Broadside,5.5
3462,2020-12-31 16:07:23,Bora Bora,2.99
3463,2020-12-27 06:28:13,Irish Coffee,7.5
3464,2020-12-30 09:41:56,Porto flip,4.99
3465,2020-12-28 10:28:36,Snowball,11.0
3466,2020-12-29 12:45:18,Lassi - Sweet,8.0
3467,2020-12-29 21:48:59,Long Island Iced Tea,3.0
3468,2020-12-30 16:20:56,Hemingway Special,3.5
3469,2020-12-27 06:01:10,Afternoon,3.0
3470,2020-12-31 17:03:31,Creme de Menthe,3.5
3471,2020-12-30 08:04:32,Irish Spring,5.15
3472,2020-12-27 19:14:56,Zizi Coin-coin,5.0
3473,2020-12-29 20:10:06,Bramble,4.2
3474,2020-12-27 23:25:48,Veteran,8.0
3475,2020-12-26 10:51:30,Clover Club,4.99
3476,2020-12-27 15:57:04,Corpse Reviver,5.15
3477,2020-12-27 21:36:42,Van Vleet,4.2
3478,2020-12-26 02:20:56,Imperial Cocktail,4.99
3479,2020-12-29 19:46:54,Ace,12.0
3480,2020-12-31 19:39:07,Grasshopper,4.99
3481,2020-12-28 06:35:33,Sea breeze,8.0
3482,2020-12-29 20:37:10,Jamaica Kiss,5.0
3483,2020-12-31 11:39:36,Mai Tai,11.0
3484,2020-12-28 07:32:53,Lassi - Sweet,8.0
3485,2020-12-29 23:18:18,Long Island Tea,8.0
3486,2020-12-27 20:22:45,Victory Collins,7.5
3487,2020-12-28 03:06:37,Pysch Vitamin Light,6.5
3488,2020-12-27 07:26:55,Imperial Cocktail,4.99
3489,2020-12-25 19:04:46,Godfather,6.5
3490,2020-12-27 07:37:05,Gimlet,4.2
3491,2020-12-28 08:35:38,Corn n Oil,8.0
3492,2020-12-30 05:38:48,Vodka Martini,4.2
3493,2020-12-30 02:30:45,Horse's Neck,7.5
3494,2020-12-26 08:06:50,Manhattan,4.2
3495,2020-12-30 19:12:34,Thai Coffee,5.5
3496,2020-12-26 13:08:58,B-53,5.15
3497,2020-12-30 01:55:06,Margarita,7.5
3498,2020-12-26 12:55:24,Valencia Cocktail,5.5
3499,2020-12-29 06:06:04,Margarita,7.5
3500,2020-12-28 22:30:30,Grasshopper,4.99
3501,2020-12-27 07:39:45,City Slicker,4.0
3502,2020-12-27 20:01:06,Halloween Punch,8.0
3503,2020-12-31 11:22:39,Margarita,7.5
3504,2020-12-30 01:04:25,Talos Coffee,5.15
3505,2020-12-27 11:08:04,Jelly Bean,3.0
3506,2020-12-30 07:59:00,Iced Coffee Fillip,5.0
3507,2020-12-30 00:49:25,Pink Panty Pulldowns,2.99
3508,2020-12-26 04:33:34,Tennesee Mud,6.5
3509,2020-12-28 21:25:10,Gin Tonic,6.5
3510,2020-12-31 07:13:17,Tequila Sour,5.15
3511,2020-12-25 16:18:14,Gin Tonic,6.5
3512,2020-12-29 07:22:16,Shot-gun,7.5
3513,2020-12-30 11:27:14,Long Island Tea,8.0
3514,2020-12-29 16:17:00,Owen's Grandmother's Revenge,8.0
3515,2020-12-29 10:54:00,Sangria,3.5
3516,2020-12-29 11:26:00,Port Wine Flip,5.0
3517,2020-12-30 02:05:38,After sex,7.5
3518,2020-12-31 01:32:12,Casa Blanca,5.15
3519,2020-12-31 14:38:30,Shot-gun,7.5
3520,2020-12-30 09:15:03,Lone Tree Cooler,5.5
3521,2020-12-30 06:08:11,Daiquiri,11.0
3522,2020-12-29 07:38:40,Imperial Cocktail,4.99
3523,2020-12-31 02:35:47,Tequila Sour,5.15
3524,2020-12-29 10:32:31,Turf Cocktail,12.0
3525,2020-12-27 16:07:23,Yoghurt Cooler,3.5
3526,2020-12-26 02:10:59,Hawaiian Cocktail,6.5
3527,2020-12-31 07:35:50,Margarita,7.5
3528,2020-12-30 05:41:28,Egg Nog - Healthy,11.0
3529,2020-12-26 12:48:26,Planter’s Punch,8.0
3530,2020-12-25 23:21:08,The Laverstoke,7.5
3531,2020-12-28 21:24:16,Margarita,7.5
3532,2020-12-25 19:21:38,Long Island Tea,8.0
3533,2020-12-28 23:22:56,Vodka And Tonic,11.0
3534,2020-12-28 17:30:47,Cosmopolitan,2.99
3535,2020-12-30 17:18:43,Waikiki Beachcomber,5.5
3536,2020-12-26 04:50:50,Winter Rita,5.5
3537,2020-12-31 08:44:16,Margarita,7.5
3538,2020-12-31 18:17:44,Margarita,7.5
3539,2020-12-30 19:20:42,Fahrenheit 5000,2.99
3540,2020-12-26 19:59:38,Hawaiian Cocktail,6.5
3541,2020-12-31 10:06:53,Valencia Cocktail,5.5
3542,2020-12-29 11:55:15,Lemon Drop,2.99
3543,2020-12-31 11:22:05,City Slicker,4.0
3544,2020-12-27 03:03:28,Sangria,3.5
3545,2020-12-27 12:57:12,Orgasm,5.15
3546,2020-12-31 12:01:38,French 75,6.5
3547,2020-12-25 23:47:19,Hawaiian Cocktail,6.5
3548,2020-12-27 10:10:43,Artillery,3.5
3549,2020-12-29 19:00:02,Zimadori Zinger,12.0
3550,2020-12-28 00:13:47,Margarita,7.5
3551,2020-12-31 03:34:35,Valencia Cocktail,5.5
3552,2020-12-30 16:45:44,Shot-gun,7.5
3553,2020-12-31 15:00:05,Hawaiian Cocktail,6.5
3554,2020-12-26 21:23:44,Hawaiian Cocktail,6.5
3555,2020-12-27 22:06:15,Hawaiian Cocktail,6.5
3556,2020-12-30 20:52:11,Hawaiian Cocktail,6.5
3557,2020-12-26 14:42:53,Mojito,5.5
3558,2020-12-29 06:42:46,Margarita,7.5
3559,2020-12-26 12:13:05,Orange Crush,5.5
3560,2020-12-27 11:59:44,Long Island Iced Tea,3.0
3561,2020-12-28 22:19:33,Cream Soda,5.15
3562,2020-12-26 04:27:37,Cosmopolitan,2.99
3563,2020-12-25 18:18:38,After sex,7.5
3564,2020-12-29 14:34:06,Russian Spring Punch,7.5
3565,2020-12-31 02:07:37,Orgasm,5.15
3566,2020-12-31 01:53:25,Sidecar,11.0
3567,2020-12-27 05:52:36,Citrus Coke,5.15
3568,2020-12-30 17:43:40,Bora Bora,2.99
3569,2020-12-29 11:39:11,Rum Cooler,4.99
3570,2020-12-27 05:47:58,Bora Bora,2.99
3571,2020-12-29 02:36:54,Gin Rickey,4.0
3572,2020-12-28 13:14:11,Nuked Hot Chocolate,12.0
3573,2020-12-28 09:55:49,Midnight Mint,7.5
3574,2020-12-31 14:09:32,Hawaiian Cocktail,6.5
3575,2020-12-29 13:01:32,Clover Club,4.99
3576,2020-12-30 16:03:23,Flaming Lamborghini,3.0
3577,2020-12-28 14:26:48,Margarita,7.5
3578,2020-12-27 07:00:44,Kurant Tea,3.0
3579,2020-12-26 21:12:49,Hawaiian Cocktail,6.5
3580,2020-12-29 13:23:46,Lone Tree Cooler,5.5
3581,2020-12-26 18:38:31,Gin Rickey,4.0
3582,2020-12-28 07:25:22,Negroni,2.99
3583,2020-12-29 11:07:24,Broadside,5.5
3584,2020-12-26 20:23:43,Yoghurt Cooler,3.5
3585,2020-12-30 23:12:52,Affair,8.0
3586,2020-12-27 22:42:59,Imperial Cocktail,4.99
3587,2020-12-31 20:47:46,Japanese Fizz,4.0
3588,2020-12-26 22:35:06,Grasshopper,4.99
3589,2020-12-26 00:31:06,Sweet Tooth,2.99
3590,2020-12-27 08:29:29,Imperial Cocktail,4.99
3591,2020-12-30 19:17:36,Thai Coffee,5.5
3592,2020-12-29 21:25:08,Margarita,7.5
3593,2020-12-28 01:31:28,Queen Charlotte,8.0
3594,2020-12-30 22:51:04,Figgy Thyme,3.0
3595,2020-12-27 18:06:40,Radioactive Long Island Iced Tea,7.5
3596,2020-12-28 23:52:56,Long Island Tea,8.0
3597,2020-12-30 13:49:57,Mint Julep,8.0
3598,2020-12-29 15:27:23,Long Island Tea,8.0
3599,2020-12-28 01:55:43,Iced Coffee Fillip,5.0
3600,2020-12-28 13:47:15,Chocolate Milk,5.15
3601,2020-12-30 17:32:13,Limona Corona,4.2
3602,2020-12-30 03:17:14,Kill the cold Smoothie,11.0
3603,2020-12-29 09:11:09,Scooter,12.0
3604,2020-12-31 09:38:55,Oatmeal Cookie,4.99
3605,2020-12-29 22:54:34,Imperial Cocktail,4.99
3606,2020-12-27 15:55:43,Mocha-Berry,8.0
3607,2020-12-27 04:39:34,Zimadori Zinger,12.0
3608,2020-12-27 22:05:48,Pink Panty Pulldowns,2.99
3609,2020-12-29 07:50:16,Whitecap Margarita,4.99
3610,2020-12-28 19:33:45,Hemingway Special,3.5
3611,2020-12-26 20:32:36,Whitecap Margarita,4.99
3612,2020-12-30 00:53:22,White Lady,6.5
3613,2020-12-30 00:58:52,Monkey Gland,11.0
3614,2020-12-26 17:58:59,Tennesee Mud,6.5
3615,2020-12-26 18:49:47,Kill the cold Smoothie,11.0
3616,2020-12-25 17:31:54,Mai Tai,11.0
3617,2020-12-31 22:08:27,Imperial Cocktail,4.99
3618,2020-12-25 18:40:44,Lemouroudji,5.15
3619,2020-12-25 17:46:58,Manhattan,4.2
3620,2020-12-27 23:04:44,Frappé,3.0
3621,2020-12-26 04:33:55,Honey Bee,3.0
3622,2020-12-28 15:26:46,Manhattan,4.2
3623,2020-12-30 21:34:22,Hunter's Moon,3.0
3624,2020-12-30 05:00:10,Grasshopper,4.99
3625,2020-12-31 21:47:22,Citrus Coke,5.15
3626,2020-12-27 11:33:14,Orange Crush,5.5
3627,2020-12-27 20:57:46,Paradise,4.2
3628,2020-12-30 06:02:26,After sex,7.5
3629,2020-12-31 17:43:41,A. J.,11.0
3630,2020-12-31 18:23:25,Imperial Cocktail,4.99
3631,2020-12-26 06:48:39,Hawaiian Cocktail,6.5
3632,2020-12-31 04:53:24,Munich Mule,12.0
3633,2020-12-27 08:39:18,The Laverstoke,7.5
3634,2020-12-26 00:03:22,Veteran,8.0
3635,2020-12-30 06:38:32,Irish Curdling Cow,2.99
3636,2020-12-28 08:24:41,Sidecar,11.0
3637,2020-12-26 20:50:53,Pink Panty Pulldowns,2.99
3638,2020-12-27 04:28:07,Ipamena,2.99
3639,2020-12-28 08:19:44,Imperial Cocktail,4.99
3640,2020-12-26 04:43:15,Long Island Tea,8.0
3641,2020-12-31 07:12:53,Yellow Bird,8.0
3642,2020-12-31 10:02:08,Orange Crush,5.5
3643,2020-12-31 09:51:33,Irish Curdling Cow,2.99
3644,2020-12-28 10:17:52,Kurant Tea,3.0
3645,2020-12-31 02:33:32,Nuked Hot Chocolate,12.0
3646,2020-12-26 22:07:07,Orgasm,5.15
3647,2020-12-31 02:03:12,Mojito,5.5
3648,2020-12-28 19:52:04,Old Fashioned,5.5
3649,2020-12-29 02:53:17,Imperial Cocktail,4.99
3650,2020-12-30 18:56:54,Vampiro,11.0
3651,2020-12-29 16:58:38,Cream Soda,5.15
3652,2020-12-30 02:16:22,Casino,6.5
3653,2020-12-26 01:53:31,Big Red,8.0
3654,2020-12-26 11:27:55,Manhattan,4.2
3655,2020-12-31 00:47:48,Funk and Soul,5.15
3656,2020-12-30 01:10:22,After sex,7.5
3657,2020-12-31 17:16:52,B-53,5.15
3658,2020-12-25 20:51:12,Long Island Tea,8.0
3659,2020-12-31 16:37:10,Lone Tree Cooler,5.5
3660,2020-12-31 15:20:11,Irish Curdling Cow,2.99
3661,2020-12-30 12:27:24,Sweet Tooth,2.99
3662,2020-12-28 14:47:27,City Slicker,4.0
3663,2020-12-27 19:29:44,Paradise,4.2
3664,2020-12-30 06:52:23,Frosé,2.99
3665,2020-12-27 20:03:39,Godfather,6.5
3666,2020-12-29 22:24:29,Long Island Tea,8.0
3667,2020-12-26 10:06:31,Jack's Vanilla Coke,6.5
3668,2020-12-27 16:57:29,Sangria,3.5
3669,2020-12-29 06:01:22,Imperial Cocktail,4.99
3670,2020-12-31 10:04:42,Shot-gun,7.5
3671,2020-12-26 01:06:34,Cream Soda,5.15
3672,2020-12-30 04:19:39,Texas Rattlesnake,3.5
3673,2020-12-31 01:41:03,Irish Spring,5.15
3674,2020-12-28 22:37:55,Margarita,7.5
3675,2020-12-30 14:32:13,Hawaiian Cocktail,6.5
3676,2020-12-31 17:47:01,Imperial Cocktail,4.99
3677,2020-12-30 12:26:33,Ipamena,2.99
3678,2020-12-31 02:06:57,Manhattan,4.2
3679,2020-12-30 17:44:09,Rusty Nail,4.0
3680,2020-12-25 23:52:11,Gimlet,4.2
3681,2020-12-26 08:38:59,Damned if you do,6.5
3682,2020-12-28 21:29:45,Vampiro,11.0
3683,2020-12-30 11:55:56,Vodka And Tonic,11.0
3684,2020-12-27 16:11:55,Manhattan,4.2
3685,2020-12-26 13:06:56,Margarita,7.5
3686,2020-12-27 08:16:18,Clover Club,4.99
3687,2020-12-27 03:34:37,Snowball,11.0
3688,2020-12-28 18:27:31,Imperial Cocktail,4.99
3689,2020-12-26 10:58:34,Orange Crush,5.5
3690,2020-12-26 15:30:28,Irish Curdling Cow,2.99
3691,2020-12-31 00:37:32,Irish Curdling Cow,2.99
3692,2020-12-31 02:55:01,Veteran,8.0
3693,2020-12-31 18:24:20,Van Vleet,4.2
3694,2020-12-30 04:56:10,Margarita,7.5
3695,2020-12-29 21:44:26,Kool-Aid Slammer,3.0
3696,2020-12-25 22:05:58,Figgy Thyme,3.0
3697,2020-12-31 19:41:22,Long Island Tea,8.0
3698,2020-12-28 05:27:52,Manhattan,4.2
3699,2020-12-29 10:54:13,Imperial Cocktail,4.99
3700,2020-12-31 04:56:50,Casino Royale,11.0
3701,2020-12-30 07:06:18,Manhattan,4.2
3702,2020-12-26 23:07:33,Fahrenheit 5000,2.99
3703,2020-12-30 03:51:30,Sangria,3.5
3704,2020-12-30 08:30:17,Cosmopolitan,2.99
3705,2020-12-29 01:32:35,Royal Gin Fizz,7.5
3706,2020-12-31 13:49:31,Frappé,3.0
3707,2020-12-25 18:34:36,Zimadori Zinger,12.0
3708,2020-12-28 06:04:12,GG,12.0
3709,2020-12-30 06:45:39,Oatmeal Cookie,4.99
3710,2020-12-31 14:52:51,Ziemes Martini Apfelsaft,4.0
3711,2020-12-26 10:19:15,Afternoon,3.0
3712,2020-12-29 19:45:53,Hawaiian Cocktail,6.5
3713,2020-12-29 18:57:14,French 75,6.5
3714,2020-12-31 06:17:07,Jackhammer,3.5
3715,2020-12-27 06:17:42,Zizi Coin-coin,5.0
3716,2020-12-26 05:34:57,Hawaiian Cocktail,6.5
3717,2020-12-31 15:31:11,Gin Fizz,2.99
3718,2020-12-31 15:50:11,Artillery,3.5
3719,2020-12-27 20:54:27,Casino Royale,11.0
3720,2020-12-31 02:32:10,Dark Caipirinha,2.99
3721,2020-12-27 17:11:13,Queen Charlotte,8.0
3722,2020-12-31 18:04:35,Thai Iced Coffee,4.2
3723,2020-12-28 16:33:16,Long Island Iced Tea,3.0
3724,2020-12-31 02:54:46,Waikiki Beachcomber,5.5
3725,2020-12-29 05:57:15,Shot-gun,7.5
3726,2020-12-28 10:11:06,Victor,4.2
3727,2020-12-26 03:56:52,Gin Tonic,6.5
3728,2020-12-31 16:56:20,Manhattan,4.2
3729,2020-12-30 18:52:38,Lone Tree Cooler,5.5
3730,2020-12-26 01:07:13,Grass Skirt,2.99
3731,2020-12-26 19:57:56,Jackhammer,3.5
3732,2020-12-30 06:04:37,After sex,7.5
3733,2020-12-30 05:54:21,Cosmopolitan,2.99
3734,2020-12-28 23:39:56,Hawaiian Cocktail,6.5
3735,2020-12-30 04:52:30,Loch Lomond,3.0
3736,2020-12-28 12:45:28,French 75,6.5
3737,2020-12-30 16:40:19,Espresso Martini,11.0
3738,2020-12-25 20:41:58,Port Wine Flip,5.0
3739,2020-12-28 20:21:22,Affinity,2.99
3740,2020-12-29 04:49:47,Lemouroudji,5.15
3741,2020-12-27 04:23:38,Ipamena,2.99
3742,2020-12-30 09:39:05,Margarita,7.5
3743,2020-12-26 19:50:45,Shot-gun,7.5
3744,2020-12-31 13:46:30,Mother's Milk,5.0
3745,2020-12-30 00:36:40,Flaming Lamborghini,3.0
3746,2020-12-28 08:37:16,Irish Curdling Cow,2.99
3747,2020-12-28 00:13:14,Hawaiian Cocktail,6.5
3748,2020-12-29 22:28:21,Orgasm,5.15
3749,2020-12-31 21:54:17,Hawaiian Cocktail,6.5
3750,2020-12-28 03:24:31,Manhattan,4.2
3751,2020-12-27 22:24:40,Paradise,4.2
3752,2020-12-26 20:37:08,Pink Panty Pulldowns,2.99
3753,2020-12-29 20:51:36,Long Island Tea,8.0
3754,2020-12-31 17:15:55,Imperial Cocktail,4.99
3755,2020-12-30 14:27:44,Adam,3.5
3756,2020-12-30 03:38:55,Porto flip,4.99
3757,2020-12-31 04:11:47,Sweet Sangria,4.0
3758,2020-12-27 21:47:31,Long Island Tea,8.0
3759,2020-12-26 03:13:52,Lemon Shot,7.5
3760,2020-12-26 23:03:06,Mai Tai,11.0
3761,2020-12-30 02:28:26,Jelly Bean,3.0
3762,2020-12-27 15:32:00,Broadside,5.5
3763,2020-12-26 09:35:01,Margarita,7.5
3764,2020-12-26 06:10:41,Frappé,3.0
3765,2020-12-28 20:42:10,After sex,7.5
3766,2020-12-27 19:44:34,Snowball,11.0
3767,2020-12-27 03:58:49,Manhattan,4.2
3768,2020-12-31 20:20:12,Planter’s Punch,8.0
